contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1029_length_361_cov_1.359155,6,361,1.359155,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029869962.1,85.205,365,45,2.97e-98,366.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EAT43291.1,94.792,96,5,8.47e-39,134.0
NODE_103_length_756_cov_0.427099,10,756,0.427099,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EF173367.1,81.548,168,17,1.2e-25,126.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1030_length_361_cov_0.904930,4,361,0.904930,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1031_length_361_cov_0.792254,4,361,0.792254,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1032_length_361_cov_0.774648,4,361,0.774648,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1036_length_360_cov_1.042403,4,360,1.042403,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1037_length_360_cov_0.893993,4,360,0.893993,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019562625.2,83.333,120,20,7.71e-61,191.0
NODE_1038_length_360_cov_0.766784,4,360,0.766784,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1039_length_360_cov_0.727915,4,360,0.727915,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_104_length_755_cov_0.554572,9,755,0.554572,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1040_length_360_cov_0.720848,5,360,0.720848,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1042_length_360_cov_0.604240,4,360,0.604240,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029852721.1,90.654,107,8,1.95e-30,141.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1043_length_360_cov_0.551237,4,360,0.551237,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1044_length_359_cov_1.297872,6,359,1.297872,179676,41820,41819,7147,50557,6656,33208,2759,Eukaryota,LN483353.1,87.697,317,39,2.28e-99,370.0,35570,35569,7366,7147,50557,6656,33208,2759,Eukaryota,XP_013102610.1,92.941,85,1,6.07e-48,148.0
NODE_1045_length_359_cov_1.039007,4,359,1.039007,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021706136.1,84.956,113,16,1.31e-59,196.0
NODE_1046_length_359_cov_1.021277,4,359,1.021277,265458,153220,33406,7147,50557,6656,33208,2759,Eukaryota,XM_031764356.1,83.099,284,43,2.4e-64,254.0,817,816,815,171549,200643,976,-650,2,Bacteria,WP_151874163.1,94.565,92,5,1.27e-59,180.0
NODE_1047_length_359_cov_0.932624,4,359,0.932624,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,343691,343581,34687,7147,50557,6656,33208,2759,Eukaryota,XP_037912818.1,62.385,109,41,9.43e-40,139.0
NODE_1048_length_359_cov_0.879433,4,359,0.879433,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1049_length_359_cov_0.851064,4,359,0.851064,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_105_length_754_cov_0.797637,13,754,0.797637,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1055_length_359_cov_0.673759,4,359,0.673759,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1058_length_359_cov_0.602837,4,359,0.602837,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1059_length_358_cov_2.654804,14,358,2.654804,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_106_length_750_cov_0.650817,7,750,0.650817,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1060_length_358_cov_1.313167,5,358,1.313167,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029708911.1,98.319,119,2,2.44e-70,227.0
NODE_1061_length_358_cov_0.918149,7,358,0.918149,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1062_length_358_cov_0.900356,4,358,0.900356,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1066_length_358_cov_0.740214,4,358,0.740214,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_107_length_746_cov_0.526158,22,746,0.526158,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1071_length_357_cov_1.528571,6,357,1.528571,2753613,117093,50674,7147,50557,6656,33208,2759,Eukaryota,OX596017.1,85.915,355,50,3.77e-102,379.0,7245,7215,7214,7147,50557,6656,33208,2759,Eukaryota,AAR09841.1,100.0,118,0,2.33e-84,241.0
NODE_1072_length_357_cov_1.417857,6,357,1.417857,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1073_length_357_cov_0.996429,4,357,0.996429,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029710925.1,87.879,99,12,7.44e-53,173.0
NODE_1074_length_357_cov_0.957143,4,357,0.957143,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021697042.1,58.772,114,45,1.78e-37,123.0
NODE_1076_length_357_cov_0.760714,5,357,0.760714,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1078_length_356_cov_0.691756,4,356,0.691756,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_108_length_745_cov_0.627246,11,745,0.627246,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1083_length_356_cov_0.483871,4,356,0.483871,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1084_length_355_cov_1.021583,5,355,1.021583,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001660331.1,76.119,67,16,3.1e-26,95.1
NODE_1085_length_355_cov_0.942446,5,355,0.942446,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_109_length_741_cov_0.641566,7,741,0.641566,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1094_length_354_cov_0.902527,6,354,0.902527,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1095_length_354_cov_0.873646,4,354,0.873646,6956,6953,6952,83137,6854,6656,33208,2759,Eukaryota,XM_027339944.1,85.231,325,47,2.95e-88,333.0,2735356,305760,217754,216294,6448,6447,33208,2759,Eukaryota,AJD76469.1,97.403,77,2,1.26e-48,150.0
NODE_1097_length_354_cov_0.776173,4,354,0.776173,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1098_length_354_cov_0.768953,4,354,0.768953,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1099_length_354_cov_0.754513,4,354,0.754513,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_11_length_1405_cov_0.515060,21,1405,0.515060,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_110_length_741_cov_0.474398,6,741,0.474398,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1100_length_354_cov_0.696751,5,354,0.696751,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1102_length_354_cov_0.527076,5,354,0.527076,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1103_length_354_cov_0.451264,5,354,0.451264,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1106_length_353_cov_0.670290,4,353,0.670290,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1107_length_353_cov_0.623188,4,353,0.623188,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1108_length_353_cov_0.623188,4,353,0.623188,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_111_length_740_cov_0.627451,10,740,0.627451,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1111_length_352_cov_1.076364,4,352,1.076364,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1112_length_352_cov_1.050909,4,352,1.050909,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029861786.1,83.284,341,36,1.38e-76,294.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_021703285.1,97.917,48,1,1.7e-30,113.0
NODE_1113_length_352_cov_0.989091,4,352,0.989091,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1114_length_352_cov_0.967273,4,352,0.967273,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1115_length_352_cov_0.854545,4,352,0.854545,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1118_length_352_cov_0.701818,6,352,0.701818,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_112_length_739_cov_0.486405,10,739,0.486405,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1120_length_351_cov_1.047445,6,351,1.047445,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029709718.1,82.407,108,19,1.93e-54,171.0
NODE_1121_length_351_cov_0.875912,4,351,0.875912,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1123_length_351_cov_0.755474,6,351,0.755474,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1125_length_351_cov_0.697080,4,351,0.697080,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1126_length_351_cov_0.686131,6,351,0.686131,2714935,55968,85023,85006,1760,201174,-650,2,Bacteria,CP049863.1,92.593,351,26,5.85e-140,505.0,29829,29828,29827,4892,4891,4890,4751,2759,Eukaryota,ODQ68767.1,95.775,71,3,3.72e-41,132.0
NODE_1127_length_351_cov_0.649635,4,351,0.649635,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1128_length_351_cov_0.609489,4,351,0.609489,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_113_length_738_cov_0.562784,8,738,0.562784,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1130_length_350_cov_1.084249,4,350,1.084249,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001656400.1,93.86,114,7,1e-68,222.0
NODE_1131_length_350_cov_1.014652,4,350,1.014652,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1132_length_350_cov_0.948718,7,350,0.948718,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1133_length_350_cov_0.857143,4,350,0.857143,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029863116.1,91.139,158,14,1.1e-52,215.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029718935.1,100.0,43,0,4.73e-23,91.3
NODE_1134_length_350_cov_0.838828,5,350,0.838828,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1135_length_350_cov_0.835165,5,350,0.835165,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_021843501.1,82.196,337,28,1.39e-66,261.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1137_length_350_cov_0.589744,4,350,0.589744,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KXJ78716.1,93.966,116,7,9.36e-73,233.0
NODE_1139_length_349_cov_0.727941,4,349,0.727941,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_114_length_736_cov_0.772382,8,736,0.772382,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1143_length_349_cov_0.599265,5,349,0.599265,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1144_length_349_cov_0.599265,4,349,0.599265,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,EAT41001.1,87.059,85,11,6.47e-50,154.0
NODE_1145_length_348_cov_1.044280,4,348,1.044280,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1146_length_348_cov_0.952030,4,348,0.952030,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1147_length_348_cov_0.915129,6,348,0.915129,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1148_length_348_cov_0.830258,4,348,0.830258,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1149_length_348_cov_0.819188,4,348,0.819188,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_115_length_735_cov_0.677812,23,735,0.677812,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1151_length_348_cov_0.730627,8,348,0.730627,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1154_length_348_cov_0.608856,4,348,0.608856,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1155_length_347_cov_1.251852,7,347,1.251852,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1156_length_347_cov_1.092593,4,347,1.092593,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1157_length_347_cov_0.970370,4,347,0.970370,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,265458,153220,33406,7147,50557,6656,33208,2759,Eukaryota,XP_031634192.1,70.536,112,31,2.75e-46,158.0
NODE_1159_length_347_cov_0.855556,4,347,0.855556,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_116_length_734_cov_0.838661,20,734,0.838661,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1163_length_347_cov_0.803704,4,347,0.803704,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1164_length_347_cov_0.733333,4,347,0.733333,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1168_length_347_cov_0.640741,4,347,0.640741,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_117_length_733_cov_0.384146,14,733,0.384146,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1171_length_346_cov_1.100372,4,346,1.100372,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1172_length_346_cov_0.806691,4,346,0.806691,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1176_length_346_cov_0.713755,4,346,0.713755,1397682,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KT998343.1,87.608,347,42,7.78e-109,401.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019527837.2,95.789,95,4,6.22e-57,188.0
NODE_1177_length_346_cov_0.654275,4,346,0.654275,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1178_length_346_cov_0.650558,5,346,0.650558,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_118_length_729_cov_147.510736,1698,729,147.510736,47415,41043,41042,7147,50557,6656,33208,2759,Eukaryota,X89496.1,95.359,237,11,2.9e-101,377.0,5949,5948,57506,693921,33829,5878,-650,2759,Eukaryota,CDW75723.1,56.589,129,35,1.65e-31,121.0
NODE_1180_length_345_cov_1.108209,5,345,1.108209,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,174621,174620,7157,7147,50557,6656,33208,2759,Eukaryota,XP_055534152.1,48.276,58,29,2.21e-11,58.9
NODE_1181_length_345_cov_1.100746,4,345,1.100746,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_019698592.2,87.353,340,37,7.81e-104,385.0,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,ACJ64195.1,90.09,111,10,6.07e-53,174.0
NODE_1182_length_345_cov_1.085821,7,345,1.085821,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1183_length_345_cov_1.063433,7,345,1.063433,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029856803.1,90.909,66,3,8.87e-14,86.1,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1184_length_345_cov_1.063433,4,345,1.063433,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
